NOME,ENDERECO,CONTATO,SITE_LISTA,SITE_MODAL
Móveis Naomi,"Próx ao metrô Tucuruvi - Av. Guapira, 789 - Tucuruvi, São Paulo - SP, 02265-001 ",(11) 98187-4477 ,N/A (Ignorado por segurança),http://moveisnaomi.com.br/
Seu achado moveis usados,"R. Edgar Sales, 164 - Jardim Peri, São Paulo - SP, 02633-020 ",(11) 94795-4003 ,N/A (Ignorado por segurança),Não informado
Quirino Lar,"R. Índio Peri, 52 - Jardim Peri, São Paulo - SP, 02632-000 ",(11) 95419-6230 ,N/A (Ignorado por segurança),https://chat.whatsapp.com/GWFXmo68T0mG7Vnj8HHVwK
COMÉRCIO DE MÓVEIS NOVOS,"Done Deal Comércio Móveis - Av. Direitos Humanos, 738 - Mandaqui, São Paulo - SP, 02475-000 ",(11) 99104-1013 ,N/A (Ignorado por segurança),Não informado
LS Móveis usados,"R. Condessa Amália Matarazzo, 96a - Jardim Peri, São Paulo - SP, 02652-000 ",(11) 95717-4286 ,N/A (Ignorado por segurança),Não informado
Cássia Bazar,"R. Alto Paraguai, 140 - Jardim Brasil (Zona Norte), São Paulo - SP, 02238-240 ",(11) 99717-4335 ,N/A (Ignorado por segurança),Não informado
Móveis Barato,"R. Fernando Pessoa, 284 - Vila Dionisia, São Paulo - SP, 02670-000 ",(11) 98608-7579 ,N/A (Ignorado por segurança),Não informado
Vital Móveis Usados,"Av. Dep. Cantídio Sampaio, 3456 - Vila Souza, São Paulo - SP, 02856-024 ",(11) 96981-0120 ,N/A (Ignorado por segurança),Não informado
Portal Moveis Usados,"Av. Elísio Teixeira Leite, 4982 - Jardim Paulistano (Zona Norte), São Paulo - SP, 02810-000 ",(11) 3993-4125 ,N/A (Ignorado por segurança),Não informado
Clean Móveis & Eletromésticos Novos e Usados,"Avenida Cerejeiras, 2475 Jardim Japão - Zona Norte, São Paulo - SP, 02124-002 ",(11) 98085-9751 ,N/A (Ignorado por segurança),Não informado
3E móveis e colchões,"Av. Itaberaba, 5127 - Vila Nova Cachoeirinha, São Paulo - SP, 02739-000 ",(11) 99511-8535 ,N/A (Ignorado por segurança),Não informado
SANTANA DECOR - Loja de Sofas - Racks - Painel - Mesas de Jantar,"Av. Dep. Emílio Carlos, 2028 - Limão, São Paulo - SP, 02720-200 ",(11) 97174-0663 ,N/A (Ignorado por segurança),https://www.facebook.com/santanadecorestofados
Mauri Móveis para Escritório,"Av. Itaberaba, 4168 - Jardim Maracana, São Paulo - SP, 02739-000 ",(11) 3851-4360 ,N/A (Ignorado por segurança),http://www.classeaflex.com.br/
AM COLCHÕES,"Av. Jd. Japão, 679A - Jardim Brasil (Zona Norte), São Paulo - SP, 02221-000 ",(11) 95902-2894 ,N/A (Ignorado por segurança),https://amcolchoes.com.br/
A Toca do Tutu Raposa,"Av. das Cerejeiras, 1394 - Jardim Japao, São Paulo - SP, 02124-001 ",(88) 99616-2852 ,N/A (Ignorado por segurança),Não informado
Sabina Móveis - Venda de móveis novos desde 1958,"R. Maria Cândida, 902 - Vila Guilherme, São Paulo - SP, 02071-001 ",(11) 2909-0894 ,N/A (Ignorado por segurança),http://www.sabinamoveis.com.br/
Regina Moveis Novos e Usados,"Av. Gabriela Mistral, 97 - Loja 1 - Penha de França, São Paulo - SP, 03701-011 ",(11) 95347-3836 ,N/A (Ignorado por segurança),Não informado
Bazar Unibes.,"R. Voluntários da Pátria, 2286 - Santana, São Paulo - SP, 02010-820 ",(11) 2950-3005 ,N/A (Ignorado por segurança),http://www.unibes.org.br/
